Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
1001,Gạo nếp cái,100g,344.0,8.6,1.5,74.5,0.6,32.0,1.2,0.0,0.0,0.14,0.06
1002,Gạo nếp máy (Loại thường),100g,346.0,8.4,1.6,74.9,0.5,16.0,1.2,0.0,0.0,0.16,0.06
1003,Gạo tẻ giã,100g,344.0,8.1,1.3,75.0,0.7,36.0,0.2,0.0,0.0,0.12,0.04
1004,Gạo tẻ máy,100g,344.0,7.9,1.0,75.9,0.4,30.0,1.3,0.0,0.0,0.1,0.03
1005,Gạo lứt,100g,345.0,7.5,2.7,72.8,3.4,16.0,2.8,0.0,0.0,0.34,0.07
1006,Kê,100g,331.0,7.0,3.0,69.0,3.4,22.0,2.7,0.0,0.0,0.4,0.09
1007,Ngô bắp tươi,100g,196.0,4.1,2.3,39.6,1.2,4.0,0.6,0.0,12.0,0.15,0.08
1008,Ngô vàng hạt khô,100g,354.0,8.6,4.7,69.4,2.0,30.0,2.3,0.0,0.0,0.28,0.11
1009,Bánh bao nhân thịt,100g,219.0,6.1,0.5,47.5,0.5,19.0,1.5,0.0,0.0,0.1,0.04
1010,Bánh đa nem,100g,333.0,4.0,0.2,78.9,0.5,20.0,0.3,0.0,0.0,0.0,0.0
1011,Bánh đúc,100g,52.0,0.9,0.3,11.3,0.1,50.0,0.4,0.0,0.0,0.0,0.0
1012,Bánh mì,100g,249.0,7.9,0.8,52.6,0.2,28.0,2.0,0.0,0.0,0.1,0.07
1013,Bánh phở,100g,143.0,3.2,0.4,31.7,0.0,16.0,0.3,0.0,0.0,0.01,0.01
1014,Bánh quẩy,100g,292.0,8.0,10.8,40.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1015,Bỏng ngô,100g,372.0,8.6,1.6,80.8,3.4,3.0,0.6,0.0,0.0,0.02,0.03
